id,customer_name,sentiment,csat_score,call_timestamp,Time,reason,city,state,channel,response_time,call duration in minutes,call_center,Agent,Answered (Y/N),Resolved,Speed of answer in seconds,Satisfaction rating
DKK-57076809-w-055481-fU,Analise Gairdner,Neutral,7,10/29/2020 0:00,0.38400463,Billing Question,Detroit,Michigan,Call-Center,Within SLA,17,Los Angeles/CA,Diane,Y,Y,109,3
QGK-72219678-w-102139-KY,Crichton Kidsley,Very Positive,0,10/5/2020 0:00,0.38400463,Service Outage,Spartanburg,South Carolina,Chatbot,Within SLA,23,Baltimore/MD,Becky,Y,N,70,3
GYJ-30025932-A-023015-LD,Averill Brundrett,Negative,0,10/4/2020 0:00,0.407997685,Billing Question,Gainesville,Florida,Call-Center,Above SLA,45,Los Angeles/CA,Stewart,Y,Y,10,3
ZJI-96807559-i-620008-m7,Noreen Lafflina,Very Negative,1,10/17/2020 0:00,0.407997685,Billing Question,Portland,Oregon,Chatbot,Within SLA,12,Los Angeles/CA,Greg,Y,Y,53,2
DDU-69451719-O-176482-Fm,Toma Van der Beken,Very Positive,0,10/17/2020 0:00,0.417002315,Payments,Fort Wayne,Indiana,Call-Center,Within SLA,23,Los Angeles/CA,Becky,Y,Y,95,3
JVI-79728660-U-224285-4a,Kaylyn Emlen,Neutral,5,10/28/2020 0:00,0.417002315,Billing Question,Salt Lake City,Utah,Call-Center,Within SLA,25,Baltimore/MD,Stewart,N,N,0,0
AZI-95054097-e-185542-PT,Phillipe Bowring,Neutral,8,10/16/2020 0:00,0.432002315,Billing Question,Tyler,Texas,Chatbot,Within SLA,31,Baltimore/MD,Diane,Y,Y,24,2
TWX-27007918-I-608789-Xw,Krysta de Tocqueville,Positive,0,10/21/2020 0:00,0.432002315,Billing Question,New York City,New York,Chatbot,Below SLA,37,Los Angeles/CA,Diane,Y,Y,22,4
XNG-44599118-P-344473-ZU,Oran Lifsey,Very Negative,0,10/3/2020 0:00,0.467997685,Billing Question,Dallas,Texas,Email,Below SLA,37,Baltimore/MD,Greg,Y,Y,15,4
RLC-64108207-Z-285141-VS,Port Inggall,Neutral,0,10/7/2020 0:00,0.467997685,Billing Question,Cincinnati,Ohio,Chatbot,Within SLA,12,Baltimore/MD,Jim,Y,Y,78,3
RJF-00263922-O-647027-TB,Ella Cristoforo,Negative,0,10/9/2020 0:00,0.46900463,Billing Question,Everett,Washington,Chatbot,Within SLA,35,Los Angeles/CA,Joe,N,N,0,0
ZQN-32874873-e-786499-kJ,Aubrey Surcombe,Negative,0,10/11/2020 0:00,0.46900463,Billing Question,Huntington,West Virginia,Web,Within SLA,18,Los Angeles/CA,Greg,Y,Y,50,4
JDP-35147568-w-630120-3l,Nicolle Fareweather,Very Positive,0,10/2/2020 0:00,0.495,Billing Question,Portland,Oregon,Call-Center,Within SLA,30,Baltimore/MD,Joe,Y,Y,84,3
DPT-56483482-P-371409-CQ,Melesa Ricardot,Positive,7,10/10/2020 0:00,0.495,Billing Question,Springfield,Massachusetts,Chatbot,Within SLA,20,Denver/CO,Martha,Y,Y,89,3
ZOV-95861398-a-333622-9r,Odell Cathesyed,Very Negative,0,10/6/2020 0:00,0.497002315,Payments,Hyattsville,Maryland,Call-Center,Below SLA,22,Baltimore/MD,Becky,Y,Y,48,4
BEJ-69711449-V-758715-cp,Dani Stanfield,Negative,4,10/18/2020 0:00,0.497002315,Billing Question,New York City,New York,Chatbot,Within SLA,28,Denver/CO,Becky,Y,Y,63,2
DEC-83767217-S-314070-eR,Margarette Jehaes,Negative,0,10/11/2020 0:00,0.497997685,Billing Question,Huntsville,Alabama,Email,Above SLA,36,Baltimore/MD,Greg,Y,Y,45,5
XNY-04106353-Y-318117-I9,Noni Greatrakes,Neutral,0,10/30/2020 0:00,0.497997685,Billing Question,Wichita,Kansas,Call-Center,Above SLA,37,Baltimore/MD,Becky,N,N,0,0
GKH-06532516-2-756137-9w,Gerik Archell,Negative,0,10/26/2020 0:00,0.50099537,Billing Question,Lansing,Michigan,Web,Within SLA,41,Baltimore/MD,Jim,N,N,0,0
DJU-19977844-M-356042-cQ,Tammie Bettinson,Very Negative,0,10/11/2020 0:00,0.50099537,Payments,Lansing,Michigan,Call-Center,Within SLA,9,Chicago/IL,Jim,Y,Y,101,3
